country_code,country_name,cereal_yield_kg_per_ha,fertiliser_kg_per_ha,arable_land_pct,population_total,gdp_per_capita_usd,internet_users_pct,stunting_pct_children,irrigated_land_pct,account_ownership_pct,bank_branches_per_100k,atm_per_100k,cereal_loss_pct,fertiliser_efficiency
BGR,Bulgaria,5949.6,126.358571428571,32.2402358142962,6507301,9161.47737990726,75.27144583,,0.56164454131167,83.9665205056197,61.1811357206881,88.7540653588318,,47.09
BHS,"Bahamas, The",7840.0,102.375,0.799200799200799,396373,29114.0597726386,92.34980011,,,,23.4853475831442,118.341751457921,,76.58
BIH,Bosnia and Herzegovina,4422.1,62.0208333333333,19.6875,3244907,5995.54197590494,75.67620138,,,79.3378937380757,30.0042293386744,58.4992639082179,,71.3
BLR,Belarus,3002.8,169.360241820768,27.7112589307711,9302585,6457.73053706343,86.88841196,1.2,0.349889894788353,,,,,17.73
BLZ,Belize,4289.5,378.14,4.38404208680403,395346,5839.40157956017,70.65370178,,,,18.1134809582031,45.9803747400541,,11.34
BOL,Bolivia,2523.0,9.3281831536684,4.98791673589957,11937360,3011.55110807557,65.9773785,,,68.8854460185439,71.9462506460259,43.1845771084482,,270.47
BRA,Brazil,4479.0,386.636366902598,6.6600942314917,209550294,8799.22844579944,80.68989314,,3.70707547169811,84.0357458977852,17.1964909481549,95.4080530710275,,11.58
BRB,Barbados,2816.0,37.1428571428571,16.2790697674419,282147,17475.0281776857,69.4756012,,,,14.1667382158496,30.909247016399,,75.82
BRN,Brunei Darussalam,2733.3,177.25,0.759013282732448,451721,29256.1833678343,97.62879944,,7.74925373134328,,16.2438432933232,73.0972948199544,,15.42
BTN,Bhutan,3344.7,10.2577319587629,2.54326166754064,775442,3206.20366997254,85.63688389,,,,20.9042534207346,45.2075724383367,,326.07
BWA,Botswana,1002.6,59.2653846153846,0.458772254865633,2401441,6895.91184943107,54.70069885,,,,6.91065502067726,33.5742656421236,2.25,16.92
CAF,Central African Republic,807.2,0.238888888888889,2.88933834151979,5112100,396.020622931961,,,,,,,,3378.98
CAN,Canada,3119.8,126.061841658172,4.35320354546179,38239864,44639.193269037,93.93710327,,,99.6346150066946,20.6899045089685,212.429180058184,0.5,24.75
CHE,Switzerland,5515.8,177.186529464331,10.009321778007,8704546,88661.2029776281,95.56937154,,,99.491031115136,36.4932699809445,93.5596547287595,4.0,31.13
CHL,Chile,6491.2,287.171345569523,2.01809524430058,19456334,14051.4713630677,90.23280334,,8.4063628013325,87.0620678198245,10.908860309716,47.7624379880991,,22.6
CHN,China,6317.5,406.234332124994,11.6065788899055,1412360000,11469.5707134928,73.05323517,,,88.7090216844445,8.77777453041303,81.5085206223716,2.17,15.55
CIV,Cote d'Ivoire,2255.1,36.5820866323076,13.8043987421384,29639736,2146.47635317946,35.95069885,23.4,,50.7622911401206,4.73960023535429,7.27822516352558,2.98,61.64
CMR,Cameroon,1726.7,16.833064516129,13.1158638488714,26915758,1443.57600237663,38.89260101,,,51.6548130092196,,,2.69,102.58
COD,"Congo, Dem. Rep.",897.4,2.08655868520548,6.04502913477868,99148932,485.160805929784,16.1595993,,,,,,2.97,430.09
COG,"Congo, Rep.",894.4,9.74727272727273,1.61054172767204,5892183,1701.79060456872,30.02739906,,,47.1421557656699,2.81399044201204,13.5391518350083,,91.76
COL,Colombia,4278.9,511.661435170947,2.1601922487607,51188173,6457.16921807086,73.02837449,,,59.7159078921527,12.6686456195329,39.6770988271711,,8.36
COM,Comoros,1770.3,3.38461538461538,34.9274583557227,818174,1359.76242021159,30.68120003,,,,5.12573830345948,5.12573830345947,,523.04
CPV,Cabo Verde,16.3,4.04,12.4069478908189,516649,3471.6553421786,70.28250122,,,,30.1304649130736,48.2087438609177,,4.03
CRI,Costa Rica,4311.2,866.290041368153,3.27327457892675,5059988,13146.6927918465,82.74901607,,,68.4896897601052,16.28856201058,64.6169941229305,,4.98
CUB,Cuba,2408.7,25.5738155813794,28.0211946050096,11122168,7379.04275283674,67.64354869,,,,,,,94.19
CYP,Cyprus,2063.5,156.229949955088,10.1207792207792,1317309,29517.072265625,90.75951564,,21.4501222387327,93.1299045859698,27.4550507248803,38.1692168614189,,13.21
CZE,Czechia,6113.0,148.624327616262,32.0693957764556,10505772,20373.8783043424,82.67062427,,0.623803578506073,94.9367048560852,17.7006413592823,60.2524392492344,,41.13
DEU,Germany,6998.1,130.141019042717,33.3667248633332,83196078,44011.0194631674,91.43060973,,,99.9765938161833,7.60599027697653,77.0019290884734,2.0,53.77
DJI,Djibouti,2021.1,30.3333333333333,0.129421915444349,1121248,2854.15987035097,61.41120148,,,,8.36196872101075,15.5480355906293,,66.63
DMA,Dominica,1659.1,73.0,8.0,67202,7738.31730070386,78.07949829,,,,13.7862103431043,34.4655258577607,,22.73
DNK,Denmark,6355.0,139.422571064913,58.925,5856733,59312.8158043771,98.8658506,,9.01451489686784,100.0,17.4949689235177,40.9777386194616,,45.58
DOM,Dominican Republic,4784.8,157.444416293463,18.7447886863402,11123476,8344.90510312395,85.24298638,,11.7968718021273,51.2980112720468,11.1068942610046,37.4563602447479,,30.39
